Player,Season,Team,Shoots,Pos,GP,G,A,P,PlusMinus,PIM,PtsPerGm,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,ShotPct,FOWPct,TOI
William Carrier,20192020,VGK,L,L,67,7,11,18,0,39,0.27,7,18,0,0,0,0,0,1,96,7.3,66.7,9.8
Mark Borowiecki,20192020,OTT,L,D,53,7,11,18,1,58,0.34,6,17,0,0,1,1,0,0,63,11.1,--,17.93333333
Michael Raffl,20192020,PHI,L,L,54,7,11,18,-4,12,0.33,6,16,0,1,1,1,0,1,60,11.7,49.7,12.35
Brandon Montour,20192020,BUF,R,D,50,5,13,18,16,26,0.36,5,16,0,2,0,0,0,0,82,6.1,--,19.23333333
Brett Pesce,20192020,CAR,R,D,61,4,14,18,7,27,0.3,4,16,0,0,0,2,0,0,104,3.9,--,21.88333333
Justin Holl,20192020,TOR,R,D,64,2,16,18,14,37,0.28,2,18,0,0,0,0,0,0,84,2.4,--,18.35
Brett Howden,20192020,NYR,L,C,65,9,8,17,-9,26,0.26,8,13,1,2,0,2,0,2,62,14.5,48.1,13.2
Brandon Sutter,20192020,VAN,R,C,40,8,9,17,4,25,0.42,7,14,1,3,0,0,0,0,72,11.1,48.6,14.95
Alex Tuch,20192020,VGK,R,R,42,8,9,17,-10,8,0.4,5,10,3,7,0,0,0,2,98,8.2,28.6,14.61666667
Richard Panik,20192020,WSH,L,R,55,8,9,17,11,34,0.31,8,17,0,0,0,0,0,0,62,12.9,58.8,11.4
Alexander Steen,20192020,STL,L,L,50,7,10,17,7,12,0.34,7,16,0,1,0,0,0,0,68,10.3,57.1,14.01666667
Kyle Clifford,20192020,"LAK,TOR",L,L,65,7,10,17,-6,63,0.26,7,17,0,0,0,0,0,0,105,6.7,66.7,11.3
Cedric Paquette,20192020,TBL,L,C,56,6,11,17,-4,40,0.3,5,15,0,0,1,2,0,0,71,8.4,50.7,13.13333333
Johan Larsson,20192020,BUF,L,C,58,6,11,17,9,22,0.29,6,17,0,0,0,0,0,0,55,10.9,47.4,14.98333333
Colin White,20192020,OTT,R,C,56,6,11,17,-16,32,0.3,5,13,1,4,0,0,0,0,75,8,47,15.56666667
Vladislav Gavrikov,20192020,CBJ,L,D,66,5,12,17,1,18,0.26,5,17,0,0,0,0,0,1,79,6.3,--,18.86666667
Matt Roy,20192020,LAK,R,D,66,4,13,17,10,8,0.26,4,17,0,0,0,0,0,0,106,3.8,--,18.06666667
Michal Kempny,20192020,WSH,L,D,55,3,14,17,13,22,0.31,3,17,0,0,0,0,0,0,66,4.5,--,18.78333333
TJ Brodie,20192020,CGY,L,D,61,2,15,17,8,36,0.28,2,16,0,1,0,0,0,0,61,3.3,--,20.38333333
Blake Comeau,20192020,DAL,R,L,51,8,8,16,-5,32,0.31,7,14,0,0,1,2,0,2,68,11.8,44.6,15.01666667
Marcus Sorensen,20192020,SJS,L,L,61,7,9,16,-9,26,0.26,6,15,0,0,1,1,0,0,73,9.6,17.6,13.73333333
Michael Amadio,20192020,LAK,R,C,64,6,10,16,-12,10,0.25,6,13,0,3,0,0,0,0,95,6.3,49,13.01666667
Colton Sceviour,20192020,FLA,R,C,66,6,10,16,1,6,0.24,6,16,0,0,0,0,0,0,107,5.6,44.1,13.21666667
Brendan Lemieux,20192020,NYR,L,L,54,6,10,16,-13,107,0.3,3,10,2,4,1,2,0,0,76,7.9,36.2,12.91666667
MacKenzie Weegar,20192020,FLA,R,D,42,5,11,16,1,31,0.38,5,16,0,0,0,0,0,0,69,7.3,--,19.85
Philippe Myers,20192020,PHI,R,D,47,4,12,16,16,28,0.34,4,16,0,0,0,0,0,0,74,5.4,--,17.11666667
Olli Maatta,20192020,CHI,L,D,60,4,12,16,3,20,0.27,4,14,0,0,0,2,0,0,73,5.5,--,18.31666667
Madison Bowey,20192020,DET,R,D,50,3,13,16,-16,32,0.32,3,15,0,1,0,0,0,0,68,4.4,--,18.05
Darren Helm,20192020,DET,L,L,65,9,6,15,-5,35,0.23,8,13,0,0,1,2,0,0,94,9.6,53.6,13.58333333
Colton Sissons,20192020,NSH,R,C,53,9,6,15,-1,20,0.28,8,14,0,0,1,1,0,2,51,17.6,51.2,14.28333333
