"Age","Gender","Education","Educ","Political","Mean_Animal_reminder","Mean_Contamination","Mean_core","Mean_general_ds"
26,"female",12,"HS","right",1.5,0,3,1.95652173913043
22.5,"female",12,"HS","right",3.5,2.75,3.27272727272727,3.26086956521739
67,"male",16,"Coll_Univ","center",1.875,0.5,1.54545454545455,1.47826086956522
28,"female",15,"Coll_Univ","right",2.875,1.75,3,2.73913043478261
29,"female",17,"Grad_Prof","left",2.875,2,2.72727272727273,2.65217391304348
26,"male",12,"HS","right",1.625,1.75,2,1.82608695652174
32,"male",15.5,"Coll_Univ","right",2.25,2.5,3.27272727272727,2.78260869565217
29,"male",16,"Coll_Univ","center",2.375,2.5,1.81818181818182,2.1304347826087
41,"male",15,"Coll_Univ","center",2.875,1,2.45454545454545,2.34782608695652
69,"male",12,"HS","center",2.875,3.25,2.54545454545455,2.78260869565217
24,"female",NA,NA,"right",NA,NA,NA,NA
22,"female",12,"HS","center",2.25,3.25,3.09090909090909,2.82608695652174
25,"female",14,"HS","left",2,1.75,2.63636363636364,2.26086956521739
28,"male",12,"HS","center",3.125,2,3.18181818181818,2.95652173913043
32,"male",24,"Grad_Prof","right",0.75,2,2,1.56521739130435
46,"male",12,"HS","right",1.625,2.75,2.36363636363636,2.17391304347826
47,"male",19,"Grad_Prof","center",NA,NA,NA,NA
32,"female",17,"Grad_Prof","left",1.5,0.25,2.27272727272727,1.65217391304348
37,"male",15,"Coll_Univ","left",1.125,0,1.27272727272727,1
55,"female",12,"HS","center",1.625,2,1.72727272727273,1.73913043478261
38,"male",12,"HS","right",2.375,1.75,2.27272727272727,2.21739130434783
58,"female",12,"HS","right",1.625,1.75,1.54545454545455,1.60869565217391
24,"female",NA,NA,"left",NA,NA,NA,NA
30,"male",14,"HS","center",NA,NA,NA,NA
37,"female",17,"Grad_Prof","left",3.5,3.25,3.18181818181818,3.30434782608696
48,"male",15,"Coll_Univ","left",2.125,1.5,2.45454545454545,2.17391304347826
25,"female",15,"Coll_Univ","right",2.625,2.25,2.63636363636364,2.56521739130435
28,"male",12,"HS","right",3.25,2.5,1.36363636363636,2.21739130434783
41,"male",15,"Coll_Univ","center",NA,NA,NA,NA
24,"male",12,"HS","right",2.75,1.5,2,2.17391304347826
32,"female",12,"HS","center",3.5,2,2.81818181818182,2.91304347826087
55,"female",12,"HS","left",2.75,2.25,2.63636363636364,2.60869565217391
22,"female",12,"HS","center",3.5,2,2.81818181818182,2.91304347826087
25,"male",15,"Coll_Univ","right",2.75,1.75,2.18181818181818,2.30434782608696
24,"female",15,"Coll_Univ","left",2.375,1.75,2.54545454545455,2.34782608695652
23,"female",12,"HS","center",2.875,1.5,3.54545454545455,2.95652173913043
24,"male",14,"HS","right",2.125,2.25,1.54545454545455,1.8695652173913
23,"female",15,"Coll_Univ","center",3.75,3,2.63636363636364,3.08695652173913
28,"male",14,"HS","center",2.875,2.75,2.63636363636364,2.73913043478261
33,"male",17,"Grad_Prof","right",NA,NA,NA,NA
62,"female",15,"Coll_Univ","left",3.25,4,2.72727272727273,3.1304347826087
61,"female",12,"HS","right",NA,NA,NA,NA
19,"male",12,"HS","right",2.25,1.5,2.90909090909091,2.43478260869565
37,"male",16,"Coll_Univ","center",2,0.25,2.09090909090909,1.73913043478261
41,"female",18,"Grad_Prof","left",2.75,3.5,3.45454545454545,3.21739130434783
38,"male",22,"Grad_Prof","left",1,1,1.81818181818182,1.39130434782609
26,"male",12,"HS","right",2.625,1,2.54545454545455,2.30434782608696
24,"female",15,"Coll_Univ","center",2.125,1.5,1.90909090909091,1.91304347826087
30,"female",15,"Coll_Univ","left",3,1.75,2.90909090909091,2.73913043478261
28,"female",NA,NA,"right",NA,NA,NA,NA
26,"female",16,"Coll_Univ","left",2.875,1.75,3,2.73913043478261
23,"female",13,"HS","left",2.375,1.25,2.63636363636364,2.30434782608696
58,"female",12,"HS","center",NA,NA,NA,NA
33,"female",17,"Grad_Prof","right",2.75,2.25,2.81818181818182,2.69565217391304
25,"male",12,"HS","right",1.875,1,1.63636363636364,1.60869565217391
32,"female",17,"Grad_Prof","right",2.375,2.5,2.54545454545455,2.47826086956522
22,"female",13,"HS","left",2.5,2.5,2.95454545454545,2.71739130434783
24,"female",15,"Coll_Univ","right",2.75,1.75,2.18181818181818,2.30434782608696
48,"male",15,"Coll_Univ","left",1.625,2.5,2.45454545454545,2.17391304347826
20,"female",12,"HS","center",3.25,3,2.72727272727273,2.95652173913043
18,"male",12,"HS","right",2.875,2.5,2.63636363636364,2.69565217391304
31,"male",15,"Coll_Univ","left",1.125,1.25,1.72727272727273,1.43478260869565
69,"male",14,"HS","center",2.5,1.5,2.54545454545455,2.34782608695652
31,"male",15,"Coll_Univ","right",2.375,2.25,2.72727272727273,2.52173913043478
28,"male",15,"Coll_Univ","center",2.25,0.75,1.45454545454545,1.60869565217391
38,"female",15,"Coll_Univ","center",3.25,2.5,2.27272727272727,2.65217391304348
19,"female",12,"HS","right",2.875,2.5,2.72727272727273,2.73913043478261
19,"female",12,"HS","right",3.625,3.25,3.09090909090909,3.30434782608696
49,"male",15,"Coll_Univ","center",0.875,1.5,1,1.04347826086957
30,"male",16,"Coll_Univ","center",2.25,2,2,2.08695652173913
59,"male",15,"Coll_Univ","right",2.875,2.25,2.18181818181818,2.43478260869565
34,"female",17,"Grad_Prof","left",2.625,2.25,2,2.26086956521739
31,"female",15,"Coll_Univ","center",2.75,1.25,5.54545454545455,3.82608695652174
43,"male",15,"Coll_Univ","right",2.5,0,1.45454545454545,1.56521739130435
50,"female",23,"Grad_Prof","right",1.125,1.25,1.27272727272727,1.21739130434783
29,"female",17,"Grad_Prof","center",3,1,2.27272727272727,2.30434782608696
25,"male",15,"Coll_Univ","center",2.875,2,3.27272727272727,2.91304347826087
34,"male",15,"Coll_Univ","right",2.25,2.5,2.09090909090909,2.21739130434783
28,"male",15,"Coll_Univ","left",0.75,0.25,0.545454545454545,0.565217391304348
30,"female",15,"Coll_Univ","center",3,2,1.81818181818182,2.26086956521739
31,"female",15,"Coll_Univ","left",2.75,3,2.81818181818182,2.82608695652174
22,"male",15,"Coll_Univ","center",1.625,0.25,1.18181818181818,1.17391304347826
26,"female",17,"Grad_Prof","right",3,2.25,2.27272727272727,2.52173913043478
39,"female",15,"Coll_Univ","left",1.75,1.25,2.36363636363636,1.95652173913043
20,"female",12,"HS","left",2.875,1,2.27272727272727,2.26086956521739
45,"female",17,"Grad_Prof","left",2,3,2.27272727272727,2.30434782608696
47,"female",15,"Coll_Univ","left",3.375,3.5,3.36363636363636,3.39130434782609
16,"female",11,"Less_HS","right",2.875,1.25,3,2.65217391304348
24,"male",12,"HS","center",2.875,2.25,1.81818181818182,2.26086956521739
19,"male",12,"HS","right",NA,NA,NA,NA
21,"male",12,"HS","right",2.625,2.25,1.72727272727273,2.1304347826087
33,"female",15.5,"Coll_Univ","center",2.75,2.25,2.54545454545455,2.56521739130435
27,"female",15,"Coll_Univ","center",2.625,1.75,1.63636363636364,2
20,"female",12,"HS","right",2.625,2.5,2.09090909090909,2.34782608695652
26,"female",18,"Grad_Prof","center",2.5,3.25,3,2.8695652173913
22,"female",12,"HS","left",3.25,2,2.90909090909091,2.8695652173913
